Symbol,Threshold,Max_Streak_Pos,Max_Streak_Neg,Pattern,Pattern_Name,Category,Chance,Prob,Stats
BGRIM,±1.8%,4,5,+-+-,4D_Reversal_Down,Reversal,🟢 UP,50%,1/2 (2069)
BGRIM,±1.8%,4,5,+--+,4D_Mixed_+--+,Mixed,🔴 DOWN,33%,2/6 (2069)
BGRIM,±1.8%,4,5,+---,4D_Reversal_Down,Reversal,🔴 DOWN,60%,3/5 (2069)
BGRIM,±1.8%,4,5,-+++,4D_Reversal_Up,Reversal,🟢 UP,66%,2/3 (2069)
BGRIM,±1.8%,4,5,-++-,4D_Mixed_-++-,Mixed,🟢 UP,85%,6/7 (2069)
BGRIM,±1.8%,4,5,-+-+,4D_Reversal_Up,Reversal,🔴 DOWN,33%,1/3 (2069)
BGRIM,±1.8%,4,5,-+--,4D_Mixed_-+--,Mixed,🟢 UP,50%,1/2 (2069)
BGRIM,±1.8%,4,5,--++,4D_Reversal_Up,Reversal,🔴 DOWN,12%,1/8 (2069)
BGRIM,±1.8%,4,5,--+-,4D_Mixed_--+-,Mixed,🔴 DOWN,42%,3/7 (2069)
BGRIM,±1.8%,4,5,---+,4D_Reversal_Up,Reversal,🟢 UP,72%,8/11 (2069)
BGRIM,±1.8%,4,5,----,4_Days_Down,Trend,🟢 UP,75%,6/8 (2069)
BGRIM,±1.8%,4,5,-----,Streak_Down_5,Breakout,🟢 UP,100%,2/2 (2069)
BH,±2.9%,3,4,+,1_Days_Up,Trend,🔴 DOWN,38%,113/296 (5000)
BH,±2.9%,3,4,-,1_Days_Down,Trend,🔴 DOWN,46%,98/209 (5000)
BH,±2.9%,3,4,++,2_Days_Up,Trend,🔴 DOWN,46%,13/28 (5000)
BH,±2.9%,3,4,+-,2D_Reversal_Down,Reversal,🟢 UP,51%,15/29 (5000)
BH,±2.9%,3,4,-+,2D_Reversal_Up,Reversal,🔴 DOWN,30%,9/30 (5000)
BH,±2.9%,3,4,--,2_Days_Down,Trend,🔴 DOWN,48%,15/31 (5000)
BH,±2.9%,3,4,+++,3_Days_Up,Trend,🔴 DOWN,0%,0/2 (5000)
BH,±2.9%,3,4,++-,3D_Reversal_Down,Reversal,🟢 UP,80%,4/5 (5000)
BH,±2.9%,3,4,+-+,3D_Mixed_+-+,Mixed,🔴 DOWN,20%,1/5 (5000)
BH,±2.9%,3,4,+--,3D_Reversal_Down,Reversal,🔴 DOWN,0%,0/1 (5000)
BH,±2.9%,3,4,-++,3D_Reversal_Up,Reversal,🔴 DOWN,0%,0/1 (5000)
BH,±2.9%,3,4,-+-,3D_Mixed_-+-,Mixed,🟢 UP,50%,2/4 (5000)
